"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PATENT_ENV","TOT","PC","A","1961",9.76,
"AUS","PATENT_ENV","TOT","PC","A","1963",10.53,
"AUS","PATENT_ENV","TOT","PC","A","1964",9.62,
"AUS","PATENT_ENV","TOT","PC","A","1965",4.72,
"AUS","PATENT_ENV","TOT","PC","A","1966",10,
"AUS","PATENT_ENV","TOT","PC","A","1967",7.48,
"AUS","PATENT_ENV","TOT","PC","A","1968",3.03,
"AUS","PATENT_ENV","TOT","PC","A","1969",5.22,
"AUS","PATENT_ENV","TOT","PC","A","1970",12.5,
"AUS","PATENT_ENV","TOT","PC","A","1971",18,
"AUS","PATENT_ENV","TOT","PC","A","1972",2.59,
"AUS","PATENT_ENV","TOT","PC","A","1973",7.57,
"AUS","PATENT_ENV","TOT","PC","A","1974",9.79,
"AUS","PATENT_ENV","TOT","PC","A","1975",8.64,
"AUS","PATENT_ENV","TOT","PC","A","1976",6.93,
"AUS","PATENT_ENV","TOT","PC","A","1977",12.23,
"AUS","PATENT_ENV","TOT","PC","A","1978",9.39,
"AUS","PATENT_ENV","TOT","PC","A","1979",9.28,
"AUS","PATENT_ENV","TOT","PC","A","1980",11.22,
"AUS","PATENT_ENV","TOT","PC","A","1981",10.35,
"AUS","PATENT_ENV","TOT","PC","A","1982",6.31,
"AUS","PATENT_ENV","TOT","PC","A","1983",6.91,
"AUS","PATENT_ENV","TOT","PC","A","1984",5.79,
"AUS","PATENT_ENV","TOT","PC","A","1985",7.44,
"AUS","PATENT_ENV","TOT","PC","A","1986",8.17,
"AUS","PATENT_ENV","TOT","PC","A","1987",5.84,
"AUS","PATENT_ENV","TOT","PC","A","1988",7.84,
"AUS","PATENT_ENV","TOT","PC","A","1989",9.64,
"AUS","PATENT_ENV","TOT","PC","A","1990",8.71,
"AUS","PATENT_ENV","TOT","PC","A","1991",9.88,
"AUS","PATENT_ENV","TOT","PC","A","1992",12.09,
"AUS","PATENT_ENV","TOT","PC","A","1993",12.23,
"AUS","PATENT_ENV","TOT","PC","A","1994",10.78,
"AUS","PATENT_ENV","TOT","PC","A","1995",10.21,
"AUS","PATENT_ENV","TOT","PC","A","1996",8.88,
"AUS","PATENT_ENV","TOT","PC","A","1997",7.87,
"AUS","PATENT_ENV","TOT","PC","A","1998",9.2,
"AUS","PATENT_ENV","TOT","PC","A","1999",8.17,
"AUS","PATENT_ENV","TOT","PC","A","2000",7.9,
"AUS","PATENT_ENV","TOT","PC","A","2001",8.14,
"AUS","PATENT_ENV","TOT","PC","A","2002",8.51,
"AUS","PATENT_ENV","TOT","PC","A","2003",8.82,
"AUS","PATENT_ENV","TOT","PC","A","2004",10.82,
"AUS","PATENT_ENV","TOT","PC","A","2005",9.02,
"AUS","PATENT_ENV","TOT","PC","A","2006",9.22,
"AUS","PATENT_ENV","TOT","PC","A","2007",9.78,
"AUS","PATENT_ENV","TOT","PC","A","2008",11.18,
"AUS","PATENT_ENV","TOT","PC","A","2009",12.25,
"AUS","PATENT_ENV","TOT","PC","A","2010",13.13,
"AUS","PATENT_ENV","TOT","PC","A","2011",12.19,
"AUS","PATENT_ENV","TOT","PC","A","2012",10.53,
"AUS","PATENT_ENV","TOT","PC","A","2013",10.19,
"AUS","PATENT_ENV","TOT","PC","A","2014",10.49,
"AUS","PATENT_ENV","TOT","PC","A","2015",10.12,
"AUS","PATENT_ENV","TOT","PC","A","2016",10.39,
"AUS","PATENT_ENV","TOT","PC","A","2017",10.44,
"AUS","PATENT_ENV","TOT","PC","A","2018",9.17,
"AUS","PATENT_ENV","TOT","PC","A","2019",10.26,
"AUT","PATENT_ENV","TOT","PC","A","1960",2.22,
"AUT","PATENT_ENV","TOT","PC","A","1961",6.29,
"AUT","PATENT_ENV","TOT","PC","A","1962",3.84,
"AUT","PATENT_ENV","TOT","PC","A","1963",5.39,
"AUT","PATENT_ENV","TOT","PC","A","1964",3.75,
"AUT","PATENT_ENV","TOT","PC","A","1965",2.96,
"AUT","PATENT_ENV","TOT","PC","A","1966",5.49,
"AUT","PATENT_ENV","TOT","PC","A","1967",1.84,
"AUT","PATENT_ENV","TOT","PC","A","1968",4.33,
"AUT","PATENT_ENV","TOT","PC","A","1969",4.25,
"AUT","PATENT_ENV","TOT","PC","A","1970",7.04,
"AUT","PATENT_ENV","TOT","PC","A","1971",5.88,
"AUT","PATENT_ENV","TOT","PC","A","1972",6.87,
"AUT","PATENT_ENV","TOT","PC","A","1973",6.7,
"AUT","PATENT_ENV","TOT","PC","A","1974",5.69,
"AUT","PATENT_ENV","TOT","PC","A","1975",6.39,
"AUT","PATENT_ENV","TOT","PC","A","1976",6.86,
"AUT","PATENT_ENV","TOT","PC","A","1977",8.44,
"AUT","PATENT_ENV","TOT","PC","A","1978",7.95,
"AUT","PATENT_ENV","TOT","PC","A","1979",10.09,
"AUT","PATENT_ENV","TOT","PC","A","1980",10.39,
"AUT","PATENT_ENV","TOT","PC","A","1981",8.33,
"AUT","PATENT_ENV","TOT","PC","A","1982",9.96,
"AUT","PATENT_ENV","TOT","PC","A","1983",11.47,
"AUT","PATENT_ENV","TOT","PC","A","1984",11.02,
"AUT","PATENT_ENV","TOT","PC","A","1985",9.63,
"AUT","PATENT_ENV","TOT","PC","A","1986",10.3,
"AUT","PATENT_ENV","TOT","PC","A","1987",9.6,
"AUT","PATENT_ENV","TOT","PC","A","1988",13.23,
"AUT","PATENT_ENV","TOT","PC","A","1989",11.9,
"AUT","PATENT_ENV","TOT","PC","A","1990",12.27,
"AUT","PATENT_ENV","TOT","PC","A","1991",11.45,
"AUT","PATENT_ENV","TOT","PC","A","1992",11.7,
"AUT","PATENT_ENV","TOT","PC","A","1993",11.26,
"AUT","PATENT_ENV","TOT","PC","A","1994",10.96,
"AUT","PATENT_ENV","TOT","PC","A","1995",11.82,
"AUT","PATENT_ENV","TOT","PC","A","1996",12.39,
"AUT","PATENT_ENV","TOT","PC","A","1997",12.64,
"AUT","PATENT_ENV","TOT","PC","A","1998",9.98,
"AUT","PATENT_ENV","TOT","PC","A","1999",10.85,
"AUT","PATENT_ENV","TOT","PC","A","2000",10.92,
"AUT","PATENT_ENV","TOT","PC","A","2001",9.92,
"AUT","PATENT_ENV","TOT","PC","A","2002",8.81,
"AUT","PATENT_ENV","TOT","PC","A","2003",9.37,
"AUT","PATENT_ENV","TOT","PC","A","2004",9.74,
"AUT","PATENT_ENV","TOT","PC","A","2005",10,
"AUT","PATENT_ENV","TOT","PC","A","2006",10.75,
"AUT","PATENT_ENV","TOT","PC","A","2007",11.18,
"AUT","PATENT_ENV","TOT","PC","A","2008",13.49,
"AUT","PATENT_ENV","TOT","PC","A","2009",12.87,
"AUT","PATENT_ENV","TOT","PC","A","2010",15.38,
"AUT","PATENT_ENV","TOT","PC","A","2011",15.61,
"AUT","PATENT_ENV","TOT","PC","A","2012",15.75,
"AUT","PATENT_ENV","TOT","PC","A","2013",12.07,
"AUT","PATENT_ENV","TOT","PC","A","2014",12.8,
"AUT","PATENT_ENV","TOT","PC","A","2015",12.98,
"AUT","PATENT_ENV","TOT","PC","A","2016",12.26,
"AUT","PATENT_ENV","TOT","PC","A","2017",13.39,
"AUT","PATENT_ENV","TOT","PC","A","2018",13.95,
"AUT","PATENT_ENV","TOT","PC","A","2019",13.96,
"BEL","PATENT_ENV","TOT","PC","A","1960",4.63,
"BEL","PATENT_ENV","TOT","PC","A","1961",8.86,
"BEL","PATENT_ENV","TOT","PC","A","1962",8.81,
"BEL","PATENT_ENV","TOT","PC","A","1963",8.16,
"BEL","PATENT_ENV","TOT","PC","A","1964",11.79,
"BEL","PATENT_ENV","TOT","PC","A","1965",4.7,
"BEL","PATENT_ENV","TOT","PC","A","1966",7.33,
"BEL","PATENT_ENV","TOT","PC","A","1967",7.79,
"BEL","PATENT_ENV","TOT","PC","A","1968",4.58,
"BEL","PATENT_ENV","TOT","PC","A","1969",4.13,
"BEL","PATENT_ENV","TOT","PC","A","1970",7.47,
"BEL","PATENT_ENV","TOT","PC","A","1971",9.89,
"BEL","PATENT_ENV","TOT","PC","A","1972",8.8,
"BEL","PATENT_ENV","TOT","PC","A","1973",5.53,
"BEL","PATENT_ENV","TOT","PC","A","1974",5.01,
"BEL","PATENT_ENV","TOT","PC","A","1975",9.44,
"BEL","PATENT_ENV","TOT","PC","A","1976",7.23,
"BEL","PATENT_ENV","TOT","PC","A","1977",6.78,
"BEL","PATENT_ENV","TOT","PC","A","1978",6.67,
"BEL","PATENT_ENV","TOT","PC","A","1979",7.23,
"BEL","PATENT_ENV","TOT","PC","A","1980",9.42,
"BEL","PATENT_ENV","TOT","PC","A","1981",9.43,
"BEL","PATENT_ENV","TOT","PC","A","1982",7.93,
"BEL","PATENT_ENV","TOT","PC","A","1983",7.66,
"BEL","PATENT_ENV","TOT","PC","A","1984",7.07,
"BEL","PATENT_ENV","TOT","PC","A","1985",7.13,
"BEL","PATENT_ENV","TOT","PC","A","1986",5.53,
"BEL","PATENT_ENV","TOT","PC","A","1987",5.08,
"BEL","PATENT_ENV","TOT","PC","A","1988",4.03,
"BEL","PATENT_ENV","TOT","PC","A","1989",5.09,
"BEL","PATENT_ENV","TOT","PC","A","1990",7.78,
"BEL","PATENT_ENV","TOT","PC","A","1991",6.57,
"BEL","PATENT_ENV","TOT","PC","A","1992",4.59,
"BEL","PATENT_ENV","TOT","PC","A","1993",5.63,
"BEL","PATENT_ENV","TOT","PC","A","1994",6.14,
"BEL","PATENT_ENV","TOT","PC","A","1995",5.9,
"BEL","PATENT_ENV","TOT","PC","A","1996",5.23,
"BEL","PATENT_ENV","TOT","PC","A","1997",6,
"BEL","PATENT_ENV","TOT","PC","A","1998",6.44,
"BEL","PATENT_ENV","TOT","PC","A","1999",5.97,
"BEL","PATENT_ENV","TOT","PC","A","2000",7.25,
"BEL","PATENT_ENV","TOT","PC","A","2001",7.56,
"BEL","PATENT_ENV","TOT","PC","A","2002",7.08,
"BEL","PATENT_ENV","TOT","PC","A","2003",6.88,
"BEL","PATENT_ENV","TOT","PC","A","2004",7.02,
"BEL","PATENT_ENV","TOT","PC","A","2005",7.49,
"BEL","PATENT_ENV","TOT","PC","A","2006",7.4,
"BEL","PATENT_ENV","TOT","PC","A","2007",9.08,
"BEL","PATENT_ENV","TOT","PC","A","2008",8.78,
"BEL","PATENT_ENV","TOT","PC","A","2009",11.45,
"BEL","PATENT_ENV","TOT","PC","A","2010",11.99,
"BEL","PATENT_ENV","TOT","PC","A","2011",9.65,
"BEL","PATENT_ENV","TOT","PC","A","2012",9.93,
"BEL","PATENT_ENV","TOT","PC","A","2013",10.68,
"BEL","PATENT_ENV","TOT","PC","A","2014",11.02,
"BEL","PATENT_ENV","TOT","PC","A","2015",10.52,
"BEL","PATENT_ENV","TOT","PC","A","2016",11.06,
"BEL","PATENT_ENV","TOT","PC","A","2017",11.33,
"BEL","PATENT_ENV","TOT","PC","A","2018",11.67,
"BEL","PATENT_ENV","TOT","PC","A","2019",8.43,
"CAN","PATENT_ENV","TOT","PC","A","1960",1.18,
"CAN","PATENT_ENV","TOT","PC","A","1961",9.84,
"CAN","PATENT_ENV","TOT","PC","A","1962",7.58,
"CAN","PATENT_ENV","TOT","PC","A","1963",15.87,
"CAN","PATENT_ENV","TOT","PC","A","1964",13.65,
"CAN","PATENT_ENV","TOT","PC","A","1965",17.63,
"CAN","PATENT_ENV","TOT","PC","A","1966",12.7,
"CAN","PATENT_ENV","TOT","PC","A","1967",7.09,
"CAN","PATENT_ENV","TOT","PC","A","1968",5.48,
"CAN","PATENT_ENV","TOT","PC","A","1969",9.38,
