"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","WASTEWATERTREAT","TOT","PC","A","1970",21,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1975",27,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1980",34,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1985",42,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1989",57,
"NOR","WASTEWATERTREAT","TOT","PC","A","1990",57,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1991",60,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1992",63,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1993",66,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1994",66,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1995",67,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1996",67,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1997",70,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1998",73,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1999",73,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","2000",74.1,
"NOR","WASTEWATERTREAT","TOT","PC","A","2001",73.7,
"NOR","WASTEWATERTREAT","TOT","PC","A","2002",73.9,
"NOR","WASTEWATERTREAT","TOT","PC","A","2003",75.2,
"NOR","WASTEWATERTREAT","TOT","PC","A","2004",76,
"NOR","WASTEWATERTREAT","TOT","PC","A","2005",78.6,
"NOR","WASTEWATERTREAT","TOT","PC","A","2006",79,
"NOR","WASTEWATERTREAT","TOT","PC","A","2007",79.608,
"NOR","WASTEWATERTREAT","TOT","PC","A","2008",80.126,
"NOR","WASTEWATERTREAT","TOT","PC","A","2009",81.64,
"NOR","WASTEWATERTREAT","TOT","PC","A","2010",81.945,
"NOR","WASTEWATERTREAT","TOT","PC","A","2011",82.146,
"NOR","WASTEWATERTREAT","TOT","PC","A","2012",82.561,
"NOR","WASTEWATERTREAT","TOT","PC","A","2013",82.757,
"NOR","WASTEWATERTREAT","TOT","PC","A","2014",83.085,
"NOR","WASTEWATERTREAT","TOT","PC","A","2015",84.124,
"NOR","WASTEWATERTREAT","TOT","PC","A","2016",84.447,
"NOR","WASTEWATERTREAT","TOT","PC","A","2017",84.248,
"NOR","WASTEWATERTREAT","TOT","PC","A","2018",85.381,
"NOR","WASTEWATERTREAT","TOT","PC","A","2019",85.149,
"NOR","WASTEWATERTREAT","TOT","PC","A","2020",85.773,
"ISR","WASTEWATERTREAT","TOT","PC","A","1980",57.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","1985",59.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","1990",76.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","1995",79.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2000",86.6,
"ISR","WASTEWATERTREAT","TOT","PC","A","2001",88,
"ISR","WASTEWATERTREAT","TOT","PC","A","2002",89.3,
"ISR","WASTEWATERTREAT","TOT","PC","A","2003",90.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","2004",92.1,
"ISR","WASTEWATERTREAT","TOT","PC","A","2005",92.9,
"ISR","WASTEWATERTREAT","TOT","PC","A","2006",93.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2007",94.1,
"ISR","WASTEWATERTREAT","TOT","PC","A","2008",94.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2009",95,
"ISR","WASTEWATERTREAT","TOT","PC","A","2010",95.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2011",96,
"ISR","WASTEWATERTREAT","TOT","PC","A","2012",96.3,
"ISR","WASTEWATERTREAT","TOT","PC","A","2013",96.6,
"ISR","WASTEWATERTREAT","TOT","PC","A","2014",96.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","2015",96.8,
"ISR","WASTEWATERTREAT","TOT","PC","A","2016",96.8,
"ISR","WASTEWATERTREAT","TOT","PC","A","2017",96.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","2018",96.8,
"ISR","WASTEWATERTREAT","TOT","PC","A","2019",96.9,
"ISR","WASTEWATERTREAT","TOT","PC","A","2020",97,
"JPN","WASTEWATERTREAT","TOT","PC","A","1970",16,
"JPN","WASTEWATERTREAT","TOT","PC","A","1975",23,
"JPN","WASTEWATERTREAT","TOT","PC","A","1980",30,
"JPN","WASTEWATERTREAT","TOT","PC","A","1985",36,
"JPN","WASTEWATERTREAT","TOT","PC","A","1990",44,
"JPN","WASTEWATERTREAT","TOT","PC","A","1995",54,
"JPN","WASTEWATERTREAT","TOT","PC","A","2000",62,
"JPN","WASTEWATERTREAT","TOT","PC","A","2001",64,
"JPN","WASTEWATERTREAT","TOT","PC","A","2002",65,
"JPN","WASTEWATERTREAT","TOT","PC","A","2003",67,
"JPN","WASTEWATERTREAT","TOT","PC","A","2004",68.07,
"JPN","WASTEWATERTREAT","TOT","PC","A","2005",69.256,
"JPN","WASTEWATERTREAT","TOT","PC","A","2006",71,
"JPN","WASTEWATERTREAT","TOT","PC","A","2007",71.7,
"JPN","WASTEWATERTREAT","TOT","PC","A","2008",72.7,
"JPN","WASTEWATERTREAT","TOT","PC","A","2009",73.7,
"JPN","WASTEWATERTREAT","TOT","PC","A","2010",75.1,
"JPN","WASTEWATERTREAT","TOT","PC","A","2011",75.8,
"JPN","WASTEWATERTREAT","TOT","PC","A","2012",76.3,
"JPN","WASTEWATERTREAT","TOT","PC","A","2013",77,
"JPN","WASTEWATERTREAT","TOT","PC","A","2014",77.6,
"JPN","WASTEWATERTREAT","TOT","PC","A","2015",77.8,
"JPN","WASTEWATERTREAT","TOT","PC","A","2016",78.3,
"JPN","WASTEWATERTREAT","TOT","PC","A","2017",78.8,
"JPN","WASTEWATERTREAT","TOT","PC","A","2018",79.3,
"JPN","WASTEWATERTREAT","TOT","PC","A","2019",79.7,
"JPN","WASTEWATERTREAT","TOT","PC","A","2020",80.1,
"MEX","WASTEWATERTREAT","TOT","PC","A","1993",21.8,
"MEX","WASTEWATERTREAT","TOT","PC","A","2000",22.9,
